id,y
0,0
1,1
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,0
26,0
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,1
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,1
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,0
111,0
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,1
133,1
134,1
135,0
136,1
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,1
148,0
149,1
150,1
151,0
152,0
153,0
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,0
167,0
168,1
169,1
170,0
171,1
172,0
173,0
174,1
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,1
185,0
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,0
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,0
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,0
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,1
244,1
245,1
246,1
247,0
248,0
249,0
250,1
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,0
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,0
268,0
269,1
270,0
271,0
272,1
273,1
274,0
275,0
276,1
277,1
278,0
279,1
280,0
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,1
291,0
292,1
293,1
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,1
303,0
304,0
305,0
306,1
307,0
308,1
309,0
310,0
311,1
312,1
313,0
314,0
315,1
316,1
317,0
318,1
319,1
320,1
321,1
322,0
323,0
324,0
325,1
326,1
327,0
328,0
329,1
330,1
331,0
332,0
333,1
334,0
335,0
336,1
337,1
338,1
339,1
340,0
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,1
356,0
357,0
358,1
359,1
360,1
361,0
362,1
363,1
364,1
365,0
366,0
367,1
368,1
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,0
377,1
378,0
379,0
380,1
381,1
382,0
383,0
384,1
385,1
386,0
387,1
388,1
389,1
390,1
391,0
392,1
393,1
394,0
395,0
396,0
397,0
398,1
399,0
400,1
401,1
402,1
403,1
404,1
405,0
406,1
407,0
408,1
409,0
410,0
411,0
412,1
413,1
414,1
415,0
416,0
417,1
418,0
419,1
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,0
429,0
430,1
431,1
432,0
433,1
434,0
435,1
436,1
437,0
438,1
439,0
440,0
441,0
442,1
443,1
444,0
445,0
446,0
447,1
448,1
449,1
450,0
451,1
452,1
453,0
454,0
455,1
456,1
457,0
458,0
459,0
460,1
461,1
462,1
463,0
464,0
465,0
466,0
467,1
468,0
469,1
470,1
471,0
472,1
473,0
474,0
475,0
476,1
477,1
478,0
479,0
480,0
481,0
482,1
483,0
484,0
485,1
486,1
487,1
488,0
489,0
490,0
491,1
492,1
493,1
494,0
495,0
496,0
497,1
498,1
499,0
