id,y
0,1
1,0
2,0
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,0
12,0
13,0
14,1
15,1
16,0
17,1
18,0
19,0
20,0
21,1
22,0
23,1
24,1
25,0
26,0
27,1
28,1
29,0
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,0
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,1
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,1
123,1
124,1
125,1
126,0
127,0
128,1
129,1
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,0
145,1
146,1
147,1
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,1
172,0
173,0
174,0
175,1
176,1
177,1
178,0
179,1
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,1
189,0
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,0
204,0
205,1
206,0
207,1
208,1
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,0
231,1
232,0
233,1
234,1
235,0
236,0
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,0
245,1
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,1
259,1
260,1
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,1
269,1
270,0
271,1
272,1
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,1
293,1
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,1
308,0
309,1
310,1
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,0
319,1
320,0
321,1
322,0
323,0
324,1
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,1
333,0
334,1
335,0
336,0
337,1
338,1
339,1
340,0
341,1
342,1
343,0
344,0
345,1
346,1
347,0
348,0
349,1
350,1
351,0
352,1
353,0
354,0
355,1
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,1
364,1
365,1
366,0
367,1
368,1
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,1
377,0
378,1
379,0
380,0
381,0
382,0
383,1
384,1
385,1
386,0
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,0
395,1
396,0
397,0
398,0
399,0
400,1
401,1
402,0
403,1
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,1
419,0
420,0
421,0
422,1
423,1
424,1
425,0
426,0
427,1
428,0
429,1
430,0
431,1
432,0
433,1
434,1
435,1
436,1
437,0
438,0
439,0
440,0
441,1
442,0
443,1
444,1
445,0
446,0
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,0
456,1
457,0
458,1
459,0
460,1
461,0
462,0
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,0
473,1
474,1
475,0
476,1
477,0
478,1
479,1
480,1
481,1
482,0
483,1
484,0
485,1
486,0
487,0
488,1
489,1
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,0
498,0
499,0
